series_id,year,period,value,footnote_codes
CES0000000026,2002,M11,9,
CES0000000026,2002,M12,-10,
CES0000000026,2003,M01,-16,
CES0000000026,2003,M02,-57,
CES0000000026,2003,M03,-80,
CES0000000026,2003,M04,-134,
CES0000000026,2003,M05,-83,
CES0000000026,2003,M06,-13,
CES0000000026,2003,M07,5,
CES0000000026,2003,M08,-16,
CES0000000026,2003,M09,20,
CES0000000026,2003,M10,88,
CES0000000026,2003,M11,108,
CES0000000026,2003,M12,111,
CES0000000026,2004,M01,105,
CES0000000026,2004,M02,117,
CES0000000026,2004,M03,185,
CES0000000026,2004,M04,214,
CES0000000026,2004,M05,290,
CES0000000026,2004,M06,217,
CES0000000026,2004,M07,146,
CES0000000026,2004,M08,81,
CES0000000026,2004,M09,100,
CES0000000026,2004,M10,200,
CES0000000026,2004,M11,189,
CES0000000026,2004,M12,177,
CES0000000026,2005,M01,109,
CES0000000026,2005,M02,176,
CES0000000026,2005,M03,177,
CES0000000026,2005,M04,248,
CES0000000026,2005,M05,219,
CES0000000026,2005,M06,262,
CES0000000026,2005,M07,259,
CES0000000026,2005,M08,269,
CES0000000026,2005,M09,208,
CES0000000026,2005,M10,120,
CES0000000026,2005,M11,165,
CES0000000026,2005,M12,194,
CES0000000026,2006,M01,258,
CES0000000026,2006,M02,248,
CES0000000026,2006,M03,299,
CES0000000026,2006,M04,259,
CES0000000026,2006,M05,169,
CES0000000026,2006,M06,93,
CES0000000026,2006,M07,105,
CES0000000026,2006,M08,150,
CES0000000026,2006,M09,173,
CES0000000026,2006,M10,111,
CES0000000026,2006,M11,123,
CES0000000026,2006,M12,135,
CES0000000026,2007,M01,208,
CES0000000026,2007,M02,165,
CES0000000026,2007,M03,181,
CES0000000026,2007,M04,122,
CES0000000026,2007,M05,145,
CES0000000026,2007,M06,92,
CES0000000026,2007,M07,65,
CES0000000026,2007,M08,7,
CES0000000026,2007,M09,9,
CES0000000026,2007,M10,45,
CES0000000026,2007,M11,90,
CES0000000026,2007,M12,99,
CES0000000026,2008,M01,76,
CES0000000026,2008,M02,13,
CES0000000026,2008,M03,-39,
CES0000000026,2008,M04,-123,
CES0000000026,2008,M05,-155,
CES0000000026,2008,M06,-196,
CES0000000026,2008,M07,-181,
CES0000000026,2008,M08,-215,
CES0000000026,2008,M09,-311,
CES0000000026,2008,M10,-406,
CES0000000026,2008,M11,-556,
CES0000000026,2008,M12,-638,
CES0000000026,2009,M01,-739,
CES0000000026,2009,M02,-744,
CES0000000026,2009,M03,-776,
CES0000000026,2009,M04,-746,
CES0000000026,2009,M05,-612,
CES0000000026,2009,M06,-501,
CES0000000026,2009,M07,-383,
CES0000000026,2009,M08,-330,
CES0000000026,2009,M09,-255,
CES0000000026,2009,M10,-208,
CES0000000026,2009,M11,-143,
CES0000000026,2009,M12,-152,
CES0000000026,2010,M01,-85,
CES0000000026,2010,M02,-120,
CES0000000026,2010,M03,30,
CES0000000026,2010,M04,107,
CES0000000026,2010,M05,317,
CES0000000026,2010,M06,211,
CES0000000026,2010,M07,106,
CES0000000026,2010,M08,-76,
CES0000000026,2010,M09,-51,
CES0000000026,2010,M10,66,
CES0000000026,2010,M11,109,
CES0000000026,2010,M12,155,
CES0000000026,2011,M01,72,
CES0000000026,2011,M02,101,
CES0000000026,2011,M03,155,
CES0000000026,2011,M04,254,
CES0000000026,2011,M05,217,
CES0000000026,2011,M06,217,
CES0000000026,2011,M07,132,
CES0000000026,2011,M08,141,
CES0000000026,2011,M09,140,
CES0000000026,2011,M10,188,
CES0000000026,2011,M11,190,
CES0000000026,2011,M12,179,
CES0000000026,2012,M01,229,
CES0000000026,2012,M02,273,
CES0000000026,2012,M03,285,
CES0000000026,2012,M04,195,
CES0000000026,2012,M05,141,
CES0000000026,2012,M06,85,
CES0000000026,2012,M07,108,
CES0000000026,2012,M08,132,
CES0000000026,2012,M09,170,
CES0000000026,2012,M10,173,
CES0000000026,2012,M11,167,
CES0000000026,2012,M12,185,
CES0000000026,2013,M01,195,
CES0000000026,2013,M02,236,
CES0000000026,2013,M03,203,
CES0000000026,2013,M04,203,
CES0000000026,2013,M05,184,
CES0000000026,2013,M06,198,
CES0000000026,2013,M07,172,
CES0000000026,2013,M08,178,
CES0000000026,2013,M09,180,
CES0000000026,2013,M10,218,
CES0000000026,2013,M11,225,
CES0000000026,2013,M12,186,
CES0000000026,2014,M01,169,
CES0000000026,2014,M02,137,
CES0000000026,2014,M03,198,
CES0000000026,2014,M04,248,
CES0000000026,2014,M05,266,
CES0000000026,2014,M06,290,
CES0000000026,2014,M07,259,
CES0000000026,2014,M08,249,
CES0000000026,2014,M09,243,
CES0000000026,2014,M10,250,
CES0000000026,2014,M11,284,
CES0000000026,2014,M12,270,
CES0000000026,2015,M01,250,
CES0000000026,2015,M02,243,
CES0000000026,2015,M03,178,
CES0000000026,2015,M04,209,
CES0000000026,2015,M05,229,
CES0000000026,2015,M06,263,
CES0000000026,2015,M07,269,
CES0000000026,2015,M08,200,
CES0000000026,2015,M09,194,
CES0000000026,2015,M10,195,
CES0000000026,2015,M11,233,
CES0000000026,2015,M12,272,
CES0000000026,2016,M01,194,
CES0000000026,2016,M02,203,
CES0000000026,2016,M03,188,
CES0000000026,2016,M04,226,
CES0000000026,2016,M05,153,
CES0000000026,2016,M06,165,
CES0000000026,2016,M07,221,
CES0000000026,2016,M08,252,
CES0000000026,2016,M09,253,
CES0000000026,2016,M10,183,
